DateID,ProductID,StoreID,CustomerID,QuantityOrdered,OrderAmount,DiscountAmount,ShippingCost,TotalAmount
20241031,159,66,47,16,651,23.557668498688418,48.650841859664695,578.7914896416469
20241031,76,66,657,20,553,65.89714406279978,78.67484977475972,408.4280061624405
20241031,175,66,165,13,159,13.551458601854362,22.207383170699703,123.24115822744594
20241031,373,66,370,11,552,26.33605346294452,27.91604231374446,497.747904223311
20241031,754,66,785,4,998,20.53852612424656,106.20349894649311,871.2579749292603
20241031,278,66,491,10,972,118.91530075509264,126.79990153617545,726.284797708732
20241031,98,66,696,11,144,16.898095486893393,16.59378665660925,110.50811785649736
20241031,498,66,237,7,771,39.98570213748194,67.98767240596757,663.0266254565505
20241031,89,66,308,6,768,48.293195225503155,83.10337552579821,636.6034292486986
20241031,985,66,844,13,386,51.882442301768364,28.132214482503507,305.9853432157281
20241031,580,66,781,8,402,31.11172506677211,57.08390676743157,313.8043681657963
20241031,422,66,145,15,573,26.170862269025843,54.91013068378126,491.9190070471929
20241031,432,66,299,11,244,8.669739353736595,24.745928734169198,210.5843319120942
20241031,752,66,288,5,816,57.92676273020652,105.79401858534939,652.2792186844441
20241031,462,66,215,5,546,43.282786955452174,41.44930144890061,461.2679115956472
20241031,968,66,65,7,991,118.24291225840072,80.72814727293887,792.0289404686604
20241031,961,66,468,5,538,13.981667809610403,29.870785903053502,494.1475462873361
20241031,953,66,186,7,610,81.41130926840992,37.056768630724584,491.5319221008655
20241031,665,66,382,2,158,5.1503097376831475,15.218934788583955,137.6307554737329
20241031,64,66,141,19,812,45.343618122615425,86.58549532332867,680.070886554056
20241031,105,66,664,6,945,29.3664700093507,100.24501443779651,815.3885155528528
20241031,641,66,818,15,824,42.207267642733214,43.743180139608945,738.0495522176578
20241031,947,66,764,7,693,43.488669262056575,70.49681626408626,579.0145144738572
20241031,57,66,620,3,103,9.730126896028793,13.176191000906364,80.09368210306485
20241031,173,66,485,2,198,12.623802880475287,19.036904601662805,166.3392925178619
20241031,38,66,549,5,288,21.52348324081738,35.521561577813614,230.954955181369
20241031,286,66,640,4,252,10.704089245853648,34.04857067598916,207.2473400781572
20241031,63,66,322,19,650,64.79498253769178,92.21985008481384,492.98516737749435
20241031,112,66,716,14,419,59.36269354742142,40.524180726520676,319.1131257260579
20241031,484,66,307,12,721,98.83630261192648,44.40158846214612,577.7621089259274
20241031,27,66,610,19,782,86.52431957786499,66.18009473231722,629.2955856898178
20241031,203,66,578,9,536,14.653182167427122,55.67406314159927,465.6727546909736
20241031,50,66,381,11,211,15.327659435577246,25.13005165617079,170.54228890825198
20241031,599,66,297,18,735,98.55879188134183,104.69802732685032,531.7431807918078
20241031,212,66,147,2,330,49.013412577394455,32.66278974499925,248.3237976776063
20241031,810,66,983,9,833,27.796401544501535,97.95291928910314,707.2506791663953
20241031,83,66,769,12,367,27.236205308719708,24.007912868472424,315.75588182280785
20241031,536,66,277,15,250,16.63990070757216,17.439482764748348,215.9206165276795
20241031,493,66,44,12,241,21.164764387610504,28.717729173537077,191.11750643885242
20241031,100,66,5,6,355,27.604068445918596,35.15332817530633,292.2426033787751
20241031,433,66,499,5,582,65.54268336658825,71.77313474346882,444.6841818899429
20241031,835,66,619,4,462,28.71578997006938,66.68673896665955,366.5974710632711
20241031,877,66,398,14,684,62.138344372737215,97.67826373539373,524.1833918918691
20241031,571,66,920,8,749,81.11840312136339,53.237593889042714,614.6440029895939
20241031,576,66,998,9,942,112.18858722078213,72.79819321456301,757.0132195646548
20241031,891,66,519,19,992,63.16085577155413,81.7802555842989,847.0588886441469
20241031,448,66,128,8,510,67.03891003225846,58.16997490593926,384.7911150618023
20241031,264,66,916,14,526,26.77151875670321,50.18421876223676,449.04426248106006
20241031,432,66,315,19,676,15.397562420391424,40.91847076006974,619.6839668195388
20241031,509,66,870,11,297,13.948110430865452,27.09391999410211,255.95796957503245
20241031,35,66,376,19,201,10.876487683993343,13.153613829179813,176.96989848682685
20241031,345,66,974,19,363,44.425115825934995,42.73279620589632,275.8420879681687
20241031,6,66,306,19,614,80.91742924538882,57.022818286670834,476.05975246794037
